claim_id,sale_id,component_code,component_name,component_family,supplier_code,sale_date,claim_date,days_since_sale,market_region,use_case,failure_mode,claim_cost_gbp,repeat_claim
CLM-00054,SALE-05419,OCU-ZREN,Door Panel,Body,38HY-F9SX,2024-10-19,2025-02-27,131,UK,Leisure,Noise,423.55,False
CLM-00055,SALE-04593,AU5-BHXT,Suspension Control Arm,Chassis,MECO-SFOG,2025-06-19,2026-08-18,425,UK,Commercial,Intermittent,753.1,False
CLM-00056,SALE-07869,IP9-8Q1Z,Transmission Assembly,Powertrain,AK1V-RJNV,2025-05-03,2025-09-25,145,Americas,Leisure,Noise,1581.55,False
CLM-00057,SALE-08329,AU5-BHXT,Suspension Control Arm,Chassis,MECO-SFOG,2025-05-19,2026-04-27,343,Americas,Commercial,Non-start,1001.99,False
CLM-00058,SALE-07979,3YR-9OUD,Steering Knuckle,Chassis,MECO-SFOG,2025-06-22,2026-01-27,219,EU,Commercial,Noise,398.94,False
CLM-00059,SALE-10799,OCU-ZREN,Door Panel,Body,B9M8-0O2R,2024-12-29,2025-07-14,197,UK,Off-roading,Noise,393.96,False
CLM-00060,SALE-06255,HJK-1EYY,Drive Shaft,Powertrain,B9M8-0O2R,2025-02-07,2025-04-26,78,MENA,Commuting,Noise,1809.35,False
CLM-00061,SALE-12461,6MJ-XK87,Compressor,HVAC,F1CB-FNO6,2024-10-27,2025-11-02,371,UK,Off-roading,Intermittent,908.91,False
CLM-00062,SALE-04729,3YR-9OUD,Steering Knuckle,Chassis,MECO-SFOG,2025-04-03,2025-07-07,95,Americas,Commuting,Corrosion,757.8,False
CLM-00063,SALE-09997,XOI-65FD,Tailgate,Body,38HY-F9SX,2025-03-11,2026-04-04,389,UK,Commuting,Intermittent,520.62,False
CLM-00064,SALE-07941,AU5-BHXT,Suspension Control Arm,Chassis,38HY-F9SX,2024-11-20,2026-04-19,515,Americas,Commercial,Corrosion,1149.58,False
CLM-00065,SALE-04342,RVH-S1K3,Turbocharger,Powertrain,AK1V-RJNV,2025-05-30,2025-07-16,47,Americas,Commercial,Leak,706.48,False
CLM-00066,SALE-04169,AU5-BHXT,Suspension Control Arm,Chassis,MECO-SFOG,2025-01-18,2025-06-25,158,MENA,Leisure,Noise,719.61,False
CLM-00067,SALE-00450,6MJ-XK87,Compressor,HVAC,GFYG-WWQC,2024-11-10,2025-08-08,271,EU,Off-roading,Corrosion,901.38,False
CLM-00068,SALE-12077,UN5-Z3JQ,Front Bumper,Body,B9M8-0O2R,2025-01-01,2026-02-27,422,EU,Off-roading,Non-start,529.64,False
CLM-00069,SALE-02212,PDP-FF5E,Steering Column,Chassis,HBRP-OIG8,2025-06-20,2025-07-18,28,MENA,Leisure,Intermittent,331.58,False
CLM-00070,SALE-04377,RVH-S1K3,Turbocharger,Powertrain,AK1V-RJNV,2024-12-18,2025-06-13,177,UK,Leisure,Leak,1840.37,False
CLM-00071,SALE-00933,AQ6-L6GT,Brake Caliper,Chassis,HBRP-OIG8,2025-06-02,2025-08-28,87,Americas,Commuting,Corrosion,360.94,False
CLM-00072,SALE-09891,RVH-S1K3,Turbocharger,Powertrain,AK1V-RJNV,2025-02-15,2025-11-10,268,UK,Commercial,Non-start,3169.82,False
CLM-00073,SALE-02414,8II-49KQ,Blower Motor,HVAC,GFYG-WWQC,2025-04-27,2025-06-20,54,UK,Leisure,Leak,152.74,False
CLM-00074,SALE-09604,AU5-BHXT,Suspension Control Arm,Chassis,38HY-F9SX,2025-05-10,2025-08-01,83,EU,Commuting,Corrosion,355.87,False
CLM-00075,SALE-12146,8II-49KQ,Blower Motor,HVAC,GFYG-WWQC,2025-01-27,2026-07-25,544,MENA,Off-roading,Leak,497.68,False
CLM-00076,SALE-12395,37Q-9AH8,Starter Motor,Electrical,GFYG-WWQC,2024-10-10,2025-10-30,385,UK,Off-roading,Intermittent,261.33,False
CLM-00077,SALE-04041,RVH-S1K3,Turbocharger,Powertrain,AK1V-RJNV,2025-06-21,2026-11-26,523,UK,Off-roading,Corrosion,3415.46,False
CLM-00078,SALE-07899,6MJ-XK87,Compressor,HVAC,GFYG-WWQC,2025-04-13,2025-11-22,223,UK,Commuting,Non-start,357.42,False
CLM-00079,SALE-07698,37Q-9AH8,Starter Motor,Electrical,GFYG-WWQC,2025-06-09,2026-03-22,286,Americas,Leisure,Intermittent,377.1,False
CLM-00080,SALE-13279,AU5-BHXT,Suspension Control Arm,Chassis,MECO-SFOG,2025-03-16,2026-06-03,444,EU,Off-roading,Noise,308.0,False
CLM-00081,SALE-00431,X27-2HPO,Tie Rod,Chassis,MECO-SFOG,2024-10-23,2025-01-20,89,MENA,Off-roading,Non-start,1120.8,False
CLM-00082,SALE-11261,RVH-S1K3,Turbocharger,Powertrain,AK1V-RJNV,2025-01-28,2026-07-11,529,MENA,Commercial,Intermittent,1616.08,False
CLM-00083,SALE-06930,71N-8MTZ,Alternator,Electrical,GFYG-WWQC,2025-02-12,2025-07-23,161,UK,Off-roading,Non-start,294.72,False
CLM-00084,SALE-06280,AU5-BHXT,Suspension Control Arm,Chassis,MECO-SFOG,2024-10-15,2025-03-22,158,Americas,Off-roading,Noise,385.81,False
CLM-00085,SALE-06597,71N-8MTZ,Alternator,Electrical,GFYG-WWQC,2025-02-20,2025-11-16,269,MENA,Off-roading,Intermittent,560.21,False
CLM-00086,SALE-07102,AU5-BHXT,Suspension Control Arm,Chassis,MECO-SFOG,2025-06-29,2026-07-14,380,Americas,Commercial,Non-start,1175.86,False
CLM-00087,SALE-02136,71N-8MTZ,Alternator,Electrical,F1CB-FNO6,2025-01-18,2025-02-19,32,EU,Commercial,Noise,878.82,False
CLM-00088,SALE-01012,XOI-65FD,Tailgate,Body,YR3X-KXWN,2025-06-06,2025-09-01,87,MENA,Commercial,Non-start,589.92,False
CLM-00089,SALE-03692,71N-8MTZ,Alternator,Electrical,GFYG-WWQC,2024-12-13,2025-03-16,93,Americas,Leisure,Noise,397.05,False
CLM-00090,SALE-07888,RVH-S1K3,Turbocharger,Powertrain,AK1V-RJNV,2024-12-13,2026-05-07,510,UK,Leisure,Non-start,3226.14,False
CLM-00091,SALE-10979,IP9-8Q1Z,Transmission Assembly,Powertrain,AK1V-RJNV,2025-01-10,2026-06-10,516,UK,Off-roading,Non-start,1722.05,False
CLM-00092,SALE-06935,X27-2HPO,Tie Rod,Chassis,F1CB-FNO6,2024-12-04,2025-03-03,89,EU,Commercial,Noise,671.41,False
CLM-00093,SALE-09036,3YR-9OUD,Steering Knuckle,Chassis,MECO-SFOG,2025-03-13,2025-08-14,154,UK,Off-roading,Noise,681.49,False
CLM-00094,SALE-13288,8II-49KQ,Blower Motor,HVAC,GFYG-WWQC,2024-11-01,2025-04-08,158,Americas,Commuting,Corrosion,204.05,False
CLM-00095,SALE-00097,AU5-BHXT,Suspension Control Arm,Chassis,MECO-SFOG,2025-03-27,2026-05-19,418,EU,Off-roading,Non-start,311.23,False
CLM-00096,SALE-09695,OCU-ZREN,Door Panel,Body,YR3X-KXWN,2024-10-15,2025-06-25,253,UK,Commercial,Corrosion,537.35,False
CLM-00097,SALE-02824,XOI-65FD,Tailgate,Body,38HY-F9SX,2024-12-02,2025-09-17,289,EU,Off-roading,Noise,543.0,False
CLM-00098,SALE-11836,HJK-1EYY,Drive Shaft,Powertrain,AK1V-RJNV,2025-01-26,2025-07-04,159,MENA,Commercial,Leak,946.38,False
CLM-00099,SALE-05376,IP9-8Q1Z,Transmission Assembly,Powertrain,AK1V-RJNV,2025-04-20,2026-02-26,312,MENA,Commuting,Non-start,1268.44,False
CLM-00100,SALE-02792,6MJ-XK87,Compressor,HVAC,GFYG-WWQC,2025-02-07,2026-04-18,435,UK,Commuting,Corrosion,855.34,False
CLM-00101,SALE-11722,71N-8MTZ,Alternator,Electrical,GFYG-WWQC,2025-05-02,2026-04-21,354,MENA,Commuting,Non-start,247.42,False
CLM-00102,SALE-08048,37Q-9AH8,Starter Motor,Electrical,38HY-F9SX,2025-05-13,2026-02-02,265,UK,Leisure,Non-start,802.28,False
CLM-00103,SALE-11552,XOI-65FD,Tailgate,Body,YR3X-KXWN,2025-04-19,2025-04-27,8,MENA,Commercial,Corrosion,502.76,False
CLM-00104,SALE-02141,37Q-9AH8,Starter Motor,Electrical,GFYG-WWQC,2025-01-19,2025-05-06,107,EU,Off-roading,Non-start,742.19,False
CLM-00105,SALE-00455,8II-49KQ,Blower Motor,HVAC,GFYG-WWQC,2024-12-08,2025-02-15,69,MENA,Commercial,Noise,907.98,False
CLM-00106,SALE-05166,XOI-65FD,Tailgate,Body,B9M8-0O2R,2025-02-26,2026-05-12,440,MENA,Leisure,Corrosion,537.81,False
CLM-00107,SALE-09490,6MJ-XK87,Compressor,HVAC,GFYG-WWQC,2025-02-09,2025-06-27,138,EU,Commuting,Leak,929.63,False
CLM-00108,SALE-09488,X27-2HPO,Tie Rod,Chassis,F1CB-FNO6,2025-06-27,2026-06-20,358,EU,Off-roading,Corrosion,1069.91,False
CLM-00109,SALE-07723,6MJ-XK87,Compressor,HVAC,GFYG-WWQC,2025-06-11,2026-11-13,520,Americas,Commercial,Intermittent,665.88,False
CLM-00110,SALE-11387,3YR-9OUD,Steering Knuckle,Chassis,MECO-SFOG,2025-05-20,2025-07-27,68,EU,Commercial,Noise,290.34,False
CLM-00111,SALE-12399,IP9-8Q1Z,Transmission Assembly,Powertrain,AK1V-RJNV,2025-01-12,2025-06-07,146,UK,Commercial,Non-start,2249.25,False
CLM-00112,SALE-05722,AU5-BHXT,Suspension Control Arm,Chassis,MECO-SFOG,2025-05-18,2026-01-23,250,UK,Commuting,Noise,1137.59,False
CLM-00113,SALE-06793,RVH-S1K3,Turbocharger,Powertrain,AK1V-RJNV,2024-10-15,2025-11-03,384,EU,Off-roading,Intermittent,3396.56,False
CLM-00114,SALE-02740,OCU-ZREN,Door Panel,Body,B9M8-0O2R,2025-04-14,2026-07-26,468,EU,Leisure,Corrosion,450.65,False
CLM-00115,SALE-01908,AU5-BHXT,Suspension Control Arm,Chassis,MECO-SFOG,2025-03-27,2026-08-20,511,UK,Leisure,Noise,869.34,False
CLM-00116,SALE-07954,IP9-8Q1Z,Transmission Assembly,Powertrain,38HY-F9SX,2025-02-03,2026-06-12,494,EU,Commuting,Corrosion,3302.99,False
CLM-00117,SALE-02226,OCU-ZREN,Door Panel,Body,38HY-F9SX,2025-05-07,2026-10-04,515,UK,Off-roading,Intermittent,210.2,False
CLM-00118,SALE-07246,HJK-1EYY,Drive Shaft,Powertrain,AK1V-RJNV,2025-05-10,2026-05-09,364,UK,Leisure,Leak,783.14,False
CLM-00119,SALE-06402,UN5-Z3JQ,Front Bumper,Body,YR3X-KXWN,2024-12-27,2026-01-30,399,EU,Commuting,Non-start,209.5,False
CLM-00120,SALE-05806,AQ6-L6GT,Brake Caliper,Chassis,AK1V-RJNV,2025-05-09,2025-09-06,120,Americas,Commercial,Corrosion,1144.86,False
CLM-00121,SALE-05729,8II-49KQ,Blower Motor,HVAC,38HY-F9SX,2025-05-04,2025-06-28,55,UK,Off-roading,Leak,330.46,False
CLM-00122,SALE-01647,XOI-65FD,Tailgate,Body,YR3X-KXWN,2024-10-19,2024-12-28,70,Americas,Commercial,Noise,173.61,False
CLM-00123,SALE-04417,AU5-BHXT,Suspension Control Arm,Chassis,F1CB-FNO6,2025-05-03,2026-09-09,494,MENA,Off-roading,Corrosion,328.39,False
CLM-00124,SALE-12700,8II-49KQ,Blower Motor,HVAC,B9M8-0O2R,2024-12-19,2025-12-10,356,MENA,Commuting,Leak,562.08,False
CLM-00125,SALE-11901,3YR-9OUD,Steering Knuckle,Chassis,F1CB-FNO6,2025-04-26,2026-08-07,468,UK,Off-roading,Noise,980.1,False
CLM-00126,SALE-04520,OCU-ZREN,Door Panel,Body,YR3X-KXWN,2025-02-09,2025-11-24,288,UK,Off-roading,Intermittent,260.02,False
CLM-00127,SALE-05197,AQ6-L6GT,Brake Caliper,Chassis,AK1V-RJNV,2025-01-31,2025-09-25,237,MENA,Leisure,Corrosion,228.13,False
CLM-00128,SALE-06248,X27-2HPO,Tie Rod,Chassis,MECO-SFOG,2025-02-17,2025-09-23,218,UK,Leisure,Noise,919.42,False
CLM-00129,SALE-07571,XOI-65FD,Tailgate,Body,38HY-F9SX,2025-01-20,2026-07-02,528,UK,Commercial,Intermittent,385.41,False
CLM-00130,SALE-12974,X27-2HPO,Tie Rod,Chassis,B9M8-0O2R,2025-05-08,2026-02-02,270,EU,Leisure,Noise,637.48,False
CLM-00131,SALE-13307,OCU-ZREN,Door Panel,Body,YR3X-KXWN,2024-10-27,2025-09-10,318,MENA,Off-roading,Corrosion,580.25,False
CLM-00132,SALE-03166,3YR-9OUD,Steering Knuckle,Chassis,MECO-SFOG,2024-12-01,2025-08-22,264,MENA,Commercial,Leak,628.06,False
CLM-00133,SALE-02749,OCU-ZREN,Door Panel,Body,YR3X-KXWN,2025-01-14,2025-12-24,344,Americas,Commercial,Corrosion,452.89,False
CLM-00134,SALE-06292,UN5-Z3JQ,Front Bumper,Body,YR3X-KXWN,2025-02-23,2026-06-15,477,EU,Leisure,Noise,137.18,False
CLM-00135,SALE-05289,71N-8MTZ,Alternator,Electrical,GFYG-WWQC,2024-10-10,2026-03-15,521,UK,Off-roading,Leak,421.56,False
CLM-00136,SALE-03905,X27-2HPO,Tie Rod,Chassis,HBRP-OIG8,2025-03-26,2025-05-07,42,EU,Commercial,Noise,349.25,False
CLM-00137,SALE-11574,RVH-S1K3,Turbocharger,Powertrain,AK1V-RJNV,2024-12-16,2025-01-03,18,Americas,Leisure,Non-start,1414.05,False
CLM-00138,SALE-12820,XOI-65FD,Tailgate,Body,YR3X-KXWN,2024-10-02,2025-04-30,210,UK,Leisure,Noise,313.84,False
CLM-00139,SALE-09072,37Q-9AH8,Starter Motor,Electrical,F1CB-FNO6,2024-12-20,2026-02-25,432,EU,Commercial,Leak,223.09,False
CLM-00140,SALE-07299,8II-49KQ,Blower Motor,HVAC,B9M8-0O2R,2025-04-24,2026-03-20,330,MENA,Commuting,Intermittent,832.59,False
CLM-00141,SALE-09073,8II-49KQ,Blower Motor,HVAC,GFYG-WWQC,2024-12-26,2025-09-28,276,Americas,Commuting,Leak,469.61,False
CLM-00142,SALE-09729,AQ6-L6GT,Brake Caliper,Chassis,AK1V-RJNV,2024-11-26,2026-01-22,422,MENA,Commercial,Corrosion,1088.31,False
CLM-00143,SALE-03190,IP9-8Q1Z,Transmission Assembly,Powertrain,AK1V-RJNV,2024-12-04,2025-05-01,148,EU,Off-roading,Non-start,2458.9,False
CLM-00144,SALE-11095,RVH-S1K3,Turbocharger,Powertrain,AK1V-RJNV,2025-05-28,2025-07-17,50,UK,Commuting,Corrosion,865.14,False
CLM-00145,SALE-10859,AU5-BHXT,Suspension Control Arm,Chassis,MECO-SFOG,2024-11-09,2025-03-22,133,EU,Off-roading,Noise,813.33,False
CLM-00146,SALE-11332,6MJ-XK87,Compressor,HVAC,F1CB-FNO6,2024-10-13,2025-01-26,105,EU,Leisure,Non-start,169.76,False
CLM-00147,SALE-11158,8II-49KQ,Blower Motor,HVAC,GFYG-WWQC,2025-01-31,2025-11-19,292,EU,Commuting,Leak,836.27,False
CLM-00148,SALE-05150,6MJ-XK87,Compressor,HVAC,F1CB-FNO6,2025-01-24,2025-09-13,232,UK,Commuting,Leak,978.09,False
CLM-00149,SALE-06443,IP9-8Q1Z,Transmission Assembly,Powertrain,AK1V-RJNV,2024-12-24,2025-04-04,101,Americas,Leisure,Leak,2468.82,False
CLM-00150,SALE-09438,6MJ-XK87,Compressor,HVAC,GFYG-WWQC,2025-03-08,2025-11-22,259,Americas,Leisure,Intermittent,937.52,False
CLM-00151,SALE-03104,AU5-BHXT,Suspension Control Arm,Chassis,MECO-SFOG,2024-10-28,2025-08-16,292,EU,Leisure,Corrosion,438.38,False
CLM-00152,SALE-00357,3YR-9OUD,Steering Knuckle,Chassis,MECO-SFOG,2025-06-25,2025-10-15,112,UK,Commuting,Non-start,577.48,False
CLM-00153,SALE-06674,AU5-BHXT,Suspension Control Arm,Chassis,MECO-SFOG,2024-12-19,2025-02-02,45,MENA,Leisure,Non-start,578.57,False
CLM-00154,SALE-02999,71N-8MTZ,Alternator,Electrical,GFYG-WWQC,2024-12-11,2026-04-08,483,EU,Leisure,Intermittent,171.86,False
CLM-00155,SALE-07468,OCU-ZREN,Door Panel,Body,YR3X-KXWN,2025-03-16,2025-08-20,157,EU,Leisure,Corrosion,488.04,False
CLM-00156,SALE-01683,71N-8MTZ,Alternator,Electrical,GFYG-WWQC,2024-10-07,2025-05-20,225,Americas,Commercial,Noise,485.95,False
CLM-00157,SALE-04474,AU5-BHXT,Suspension Control Arm,Chassis,MECO-SFOG,2025-04-27,2025-07-09,73,UK,Commercial,Leak,649.66,False
CLM-00158,SALE-04749,71N-8MTZ,Alternator,Electrical,GFYG-WWQC,2025-05-24,2025-11-12,172,UK,Leisure,Intermittent,628.14,False
CLM-00159,SALE-08855,HJK-1EYY,Drive Shaft,Powertrain,AK1V-RJNV,2025-05-07,2026-07-01,420,MENA,Commuting,Corrosion,847.16,False
CLM-00160,SALE-08495,HJK-1EYY,Drive Shaft,Powertrain,B9M8-0O2R,2025-03-29,2026-05-17,414,UK,Commercial,Noise,2892.5,False
CLM-00161,SALE-07729,37Q-9AH8,Starter Motor,Electrical,38HY-F9SX,2024-10-04,2025-05-28,236,EU,Commuting,Intermittent,380.01,False
CLM-00162,SALE-05122,3YR-9OUD,Steering Knuckle,Chassis,MECO-SFOG,2025-04-12,2025-12-07,239,EU,Leisure,Non-start,206.01,False
CLM-00163,SALE-05516,XOI-65FD,Tailgate,Body,YR3X-KXWN,2024-12-21,2026-01-05,380,EU,Commuting,Corrosion,154.68,False
CLM-00164,SALE-04592,RVH-S1K3,Turbocharger,Powertrain,AK1V-RJNV,2025-04-14,2026-07-15,457,MENA,Leisure,Leak,1109.13,False
CLM-00165,SALE-11246,37Q-9AH8,Starter Motor,Electrical,GFYG-WWQC,2025-06-10,2026-11-08,516,MENA,Commercial,Non-start,225.92,False
CLM-00166,SALE-04399,3YR-9OUD,Steering Knuckle,Chassis,F1CB-FNO6,2024-12-21,2025-07-13,204,Americas,Off-roading,Noise,381.6,False
CLM-00167,SALE-07319,HJK-1EYY,Drive Shaft,Powertrain,AK1V-RJNV,2025-06-28,2026-08-21,419,Americas,Leisure,Leak,3486.73,False
CLM-00168,SALE-04261,RVH-S1K3,Turbocharger,Powertrain,F1CB-FNO6,2024-11-07,2025-01-30,84,MENA,Commuting,Noise,2020.73,False
CLM-00169,SALE-02299,OCU-ZREN,Door Panel,Body,YR3X-KXWN,2024-12-20,2025-07-22,214,MENA,Leisure,Corrosion,381.61,False
CLM-00170,SALE-09725,AU5-BHXT,Suspension Control Arm,Chassis,MECO-SFOG,2025-02-27,2026-03-25,391,EU,Commuting,Corrosion,299.31,False
CLM-00171,SALE-10363,37Q-9AH8,Starter Motor,Electrical,GFYG-WWQC,2024-10-04,2025-09-28,359,UK,Commuting,Non-start,116.1,False
