sale_id,component_code,supplier_code,sale_date,market_region,use_case
SALE-00081,X27-2HPO,MECO-SFOG,2025-06-25,MENA,Off-roading
SALE-00082,3YR-9OUD,MECO-SFOG,2024-12-08,MENA,Leisure
SALE-00084,AU5-BHXT,B9M8-0O2R,2025-06-14,UK,Off-roading
SALE-00086,OCU-ZREN,YR3X-KXWN,2024-11-18,UK,Commercial
SALE-00090,OCU-ZREN,YR3X-KXWN,2024-10-02,Americas,Leisure
SALE-00091,RVH-S1K3,AK1V-RJNV,2025-02-22,UK,Commuting
SALE-00096,RVH-S1K3,AK1V-RJNV,2024-11-26,Americas,Leisure
SALE-00097,AU5-BHXT,MECO-SFOG,2025-03-27,EU,Off-roading
SALE-00099,6MJ-XK87,GFYG-WWQC,2024-11-15,Americas,Commercial
SALE-00100,XOI-65FD,YR3X-KXWN,2025-03-19,EU,Commercial
SALE-00101,PDP-FF5E,MECO-SFOG,2025-06-28,EU,Off-roading
SALE-00103,RVH-S1K3,AK1V-RJNV,2025-02-16,MENA,Commuting
SALE-00104,6MJ-XK87,B9M8-0O2R,2025-06-04,Americas,Commuting
SALE-00105,IP9-8Q1Z,HBRP-OIG8,2025-02-25,Americas,Commercial
SALE-00106,IP9-8Q1Z,AK1V-RJNV,2025-05-18,Americas,Commercial
SALE-00108,PDP-FF5E,B9M8-0O2R,2024-12-19,Americas,Commercial
SALE-00109,71N-8MTZ,38HY-F9SX,2024-12-04,Americas,Off-roading
SALE-00110,X27-2HPO,HBRP-OIG8,2024-12-27,EU,Commuting
SALE-00111,8II-49KQ,GFYG-WWQC,2024-12-27,UK,Leisure
SALE-00112,X27-2HPO,MECO-SFOG,2025-04-22,EU,Commercial
SALE-00116,3YR-9OUD,B9M8-0O2R,2025-05-02,UK,Leisure
SALE-00117,6MJ-XK87,GFYG-WWQC,2024-12-13,EU,Commuting
SALE-00118,AU5-BHXT,HBRP-OIG8,2024-11-30,UK,Commuting
SALE-00120,RVH-S1K3,AK1V-RJNV,2025-05-07,Americas,Off-roading
SALE-00121,8II-49KQ,GFYG-WWQC,2024-10-12,UK,Leisure
SALE-00123,UN5-Z3JQ,38HY-F9SX,2024-11-01,MENA,Leisure
SALE-00124,6MJ-XK87,GFYG-WWQC,2025-03-09,EU,Off-roading
SALE-00125,71N-8MTZ,F1CB-FNO6,2025-05-25,EU,Off-roading
SALE-00126,IP9-8Q1Z,HBRP-OIG8,2025-03-30,EU,Commercial
SALE-00129,37Q-9AH8,GFYG-WWQC,2024-12-19,MENA,Commuting
SALE-00131,IP9-8Q1Z,AK1V-RJNV,2025-01-20,UK,Leisure
SALE-00134,71N-8MTZ,F1CB-FNO6,2024-10-17,EU,Leisure
SALE-00139,71N-8MTZ,GFYG-WWQC,2025-01-25,UK,Off-roading
SALE-00140,X27-2HPO,B9M8-0O2R,2025-01-23,EU,Off-roading
SALE-00144,8II-49KQ,GFYG-WWQC,2025-02-24,EU,Leisure
SALE-00145,PDP-FF5E,MECO-SFOG,2025-01-30,MENA,Off-roading
SALE-00146,3YR-9OUD,MECO-SFOG,2024-12-20,EU,Commercial
SALE-00148,XOI-65FD,YR3X-KXWN,2024-12-02,UK,Off-roading
SALE-00155,8II-49KQ,GFYG-WWQC,2025-03-15,EU,Off-roading
SALE-00158,OCU-ZREN,YR3X-KXWN,2025-04-07,MENA,Commuting
SALE-00161,71N-8MTZ,F1CB-FNO6,2024-10-02,EU,Leisure
SALE-00163,8II-49KQ,GFYG-WWQC,2024-12-11,MENA,Leisure
SALE-00165,XOI-65FD,YR3X-KXWN,2025-03-19,EU,Commercial
SALE-00166,PDP-FF5E,F1CB-FNO6,2025-04-23,MENA,Off-roading
SALE-00169,OCU-ZREN,YR3X-KXWN,2025-04-13,UK,Off-roading
SALE-00171,PDP-FF5E,MECO-SFOG,2024-10-07,Americas,Leisure
SALE-00172,IP9-8Q1Z,AK1V-RJNV,2025-03-27,Americas,Off-roading
SALE-00173,37Q-9AH8,GFYG-WWQC,2025-05-30,EU,Commercial
SALE-00174,AU5-BHXT,MECO-SFOG,2025-04-21,MENA,Leisure
SALE-00177,OCU-ZREN,YR3X-KXWN,2024-12-19,EU,Off-roading
SALE-00182,AU5-BHXT,MECO-SFOG,2025-02-03,EU,Commercial
SALE-00184,AU5-BHXT,MECO-SFOG,2024-11-16,UK,Commuting
SALE-00187,UN5-Z3JQ,YR3X-KXWN,2025-01-31,Americas,Leisure
SALE-00189,PDP-FF5E,MECO-SFOG,2025-02-11,MENA,Commercial
SALE-00190,X27-2HPO,MECO-SFOG,2024-10-23,UK,Leisure
SALE-00191,8II-49KQ,GFYG-WWQC,2025-05-23,MENA,Leisure
SALE-00192,AU5-BHXT,MECO-SFOG,2024-11-28,UK,Off-roading
SALE-00193,3YR-9OUD,38HY-F9SX,2025-03-13,EU,Commercial
SALE-00194,8II-49KQ,GFYG-WWQC,2025-05-04,MENA,Commercial
SALE-00195,UN5-Z3JQ,YR3X-KXWN,2025-04-01,EU,Commuting
SALE-00196,RVH-S1K3,AK1V-RJNV,2024-12-29,UK,Off-roading
SALE-00198,3YR-9OUD,38HY-F9SX,2025-06-14,MENA,Leisure
SALE-00201,3YR-9OUD,MECO-SFOG,2024-11-21,MENA,Leisure
SALE-00203,OCU-ZREN,38HY-F9SX,2025-03-20,EU,Off-roading
SALE-00204,3YR-9OUD,MECO-SFOG,2024-12-06,Americas,Commercial
SALE-00206,8II-49KQ,GFYG-WWQC,2025-05-20,MENA,Off-roading
SALE-00207,37Q-9AH8,GFYG-WWQC,2024-12-07,MENA,Off-roading
SALE-00209,PDP-FF5E,F1CB-FNO6,2024-10-28,EU,Off-roading
SALE-00210,3YR-9OUD,MECO-SFOG,2024-11-20,Americas,Commercial
SALE-00211,UN5-Z3JQ,YR3X-KXWN,2025-06-17,MENA,Commercial
SALE-00212,71N-8MTZ,GFYG-WWQC,2025-04-02,Americas,Leisure
SALE-00213,RVH-S1K3,AK1V-RJNV,2024-10-23,UK,Leisure
SALE-00214,IP9-8Q1Z,AK1V-RJNV,2025-02-06,UK,Leisure
SALE-00217,6MJ-XK87,F1CB-FNO6,2025-04-04,Americas,Leisure
SALE-00221,6MJ-XK87,GFYG-WWQC,2024-12-06,Americas,Off-roading
SALE-00225,UN5-Z3JQ,F1CB-FNO6,2025-01-08,MENA,Leisure
SALE-00226,RVH-S1K3,AK1V-RJNV,2025-04-07,Americas,Commercial
SALE-00228,HJK-1EYY,AK1V-RJNV,2025-05-29,EU,Commercial
SALE-00230,UN5-Z3JQ,YR3X-KXWN,2025-03-25,EU,Commercial
SALE-00233,IP9-8Q1Z,AK1V-RJNV,2025-05-21,EU,Commercial
SALE-00236,RVH-S1K3,HBRP-OIG8,2025-05-17,MENA,Leisure
SALE-00237,6MJ-XK87,HBRP-OIG8,2025-03-20,EU,Off-roading
SALE-00238,RVH-S1K3,AK1V-RJNV,2025-05-01,UK,Commuting
SALE-00240,RVH-S1K3,HBRP-OIG8,2024-11-10,UK,Commercial
SALE-00241,AQ6-L6GT,AK1V-RJNV,2025-01-30,EU,Leisure
SALE-00242,AQ6-L6GT,AK1V-RJNV,2025-05-15,MENA,Leisure
SALE-00244,37Q-9AH8,GFYG-WWQC,2025-06-24,MENA,Commuting
SALE-00248,RVH-S1K3,AK1V-RJNV,2024-11-30,MENA,Off-roading
SALE-00250,UN5-Z3JQ,YR3X-KXWN,2025-02-24,EU,Commercial
SALE-00252,71N-8MTZ,GFYG-WWQC,2025-02-19,MENA,Commuting
SALE-00253,AU5-BHXT,HBRP-OIG8,2024-11-13,UK,Off-roading
SALE-00254,X27-2HPO,MECO-SFOG,2025-02-21,UK,Leisure
SALE-00258,8II-49KQ,F1CB-FNO6,2024-11-24,EU,Off-roading
SALE-00263,XOI-65FD,38HY-F9SX,2024-12-19,MENA,Commuting
SALE-00264,37Q-9AH8,GFYG-WWQC,2024-10-31,Americas,Leisure
SALE-00265,6MJ-XK87,GFYG-WWQC,2025-01-20,UK,Commercial
SALE-00267,HJK-1EYY,AK1V-RJNV,2024-12-13,UK,Off-roading
SALE-00273,RVH-S1K3,AK1V-RJNV,2025-06-05,EU,Leisure
SALE-00274,3YR-9OUD,HBRP-OIG8,2025-01-28,EU,Commuting
SALE-00275,AU5-BHXT,MECO-SFOG,2024-12-06,EU,Leisure
SALE-00282,PDP-FF5E,MECO-SFOG,2025-01-05,MENA,Commuting
SALE-00283,HJK-1EYY,AK1V-RJNV,2025-01-21,MENA,Leisure
SALE-00286,IP9-8Q1Z,AK1V-RJNV,2025-02-09,UK,Commercial
SALE-00287,XOI-65FD,YR3X-KXWN,2025-01-29,Americas,Commuting
SALE-00288,IP9-8Q1Z,AK1V-RJNV,2025-04-15,EU,Commercial
SALE-00290,8II-49KQ,38HY-F9SX,2024-11-08,EU,Commuting
SALE-00293,RVH-S1K3,AK1V-RJNV,2025-03-10,Americas,Commercial
SALE-00295,8II-49KQ,GFYG-WWQC,2025-04-18,UK,Off-roading
SALE-00298,RVH-S1K3,HBRP-OIG8,2025-06-05,EU,Leisure
SALE-00300,AU5-BHXT,F1CB-FNO6,2025-05-06,MENA,Leisure
SALE-00301,3YR-9OUD,F1CB-FNO6,2024-12-26,MENA,Commuting
SALE-00302,3YR-9OUD,MECO-SFOG,2024-12-21,UK,Off-roading
SALE-00303,AQ6-L6GT,AK1V-RJNV,2024-12-01,UK,Off-roading
SALE-00305,XOI-65FD,F1CB-FNO6,2024-11-11,Americas,Commuting
SALE-00306,UN5-Z3JQ,YR3X-KXWN,2024-10-12,EU,Commercial
SALE-00307,X27-2HPO,MECO-SFOG,2025-01-23,EU,Commercial
SALE-00308,IP9-8Q1Z,AK1V-RJNV,2025-05-06,Americas,Off-roading
SALE-00309,8II-49KQ,GFYG-WWQC,2025-01-14,EU,Leisure
SALE-00313,HJK-1EYY,AK1V-RJNV,2025-05-14,MENA,Commercial
SALE-00317,RVH-S1K3,AK1V-RJNV,2024-10-21,MENA,Commercial
SALE-00318,UN5-Z3JQ,YR3X-KXWN,2025-04-21,Americas,Commuting
SALE-00323,8II-49KQ,GFYG-WWQC,2024-12-24,UK,Off-roading
SALE-00324,3YR-9OUD,MECO-SFOG,2025-03-16,MENA,Off-roading
SALE-00327,IP9-8Q1Z,AK1V-RJNV,2024-12-11,Americas,Leisure
SALE-00330,6MJ-XK87,38HY-F9SX,2025-06-15,UK,Commuting
SALE-00332,6MJ-XK87,GFYG-WWQC,2024-10-20,EU,Leisure
SALE-00337,RVH-S1K3,AK1V-RJNV,2024-12-28,Americas,Leisure
SALE-00340,37Q-9AH8,GFYG-WWQC,2024-12-23,Americas,Commercial
SALE-00342,HJK-1EYY,AK1V-RJNV,2024-12-26,MENA,Off-roading
SALE-00344,IP9-8Q1Z,AK1V-RJNV,2025-03-03,Americas,Commercial
SALE-00346,3YR-9OUD,MECO-SFOG,2025-06-21,UK,Leisure
SALE-00350,AQ6-L6GT,AK1V-RJNV,2025-03-22,UK,Commuting
SALE-00351,UN5-Z3JQ,B9M8-0O2R,2024-10-04,UK,Commuting
SALE-00353,AQ6-L6GT,F1CB-FNO6,2025-01-18,MENA,Leisure
SALE-00354,37Q-9AH8,GFYG-WWQC,2024-11-06,UK,Commercial
SALE-00355,IP9-8Q1Z,AK1V-RJNV,2024-10-31,UK,Commuting
SALE-00357,3YR-9OUD,MECO-SFOG,2025-06-25,UK,Commuting
SALE-00358,HJK-1EYY,AK1V-RJNV,2024-10-11,EU,Leisure
SALE-00361,RVH-S1K3,AK1V-RJNV,2025-03-15,EU,Commercial
SALE-00364,HJK-1EYY,AK1V-RJNV,2024-10-19,Americas,Leisure
SALE-00365,6MJ-XK87,GFYG-WWQC,2025-04-02,MENA,Commuting
SALE-00367,8II-49KQ,GFYG-WWQC,2024-10-10,MENA,Leisure
SALE-00368,IP9-8Q1Z,AK1V-RJNV,2025-04-10,Americas,Commercial
SALE-00372,PDP-FF5E,MECO-SFOG,2024-11-28,UK,Leisure
SALE-00374,37Q-9AH8,GFYG-WWQC,2025-01-05,MENA,Leisure
SALE-00377,UN5-Z3JQ,YR3X-KXWN,2025-06-22,MENA,Off-roading
SALE-00378,UN5-Z3JQ,YR3X-KXWN,2024-10-09,EU,Leisure
SALE-00380,37Q-9AH8,GFYG-WWQC,2025-06-30,UK,Leisure
SALE-00381,OCU-ZREN,YR3X-KXWN,2024-10-08,Americas,Off-roading
SALE-00382,IP9-8Q1Z,AK1V-RJNV,2025-04-26,Americas,Commercial
SALE-00383,37Q-9AH8,GFYG-WWQC,2025-01-31,EU,Commercial
SALE-00384,6MJ-XK87,B9M8-0O2R,2024-11-02,MENA,Off-roading
SALE-00386,PDP-FF5E,MECO-SFOG,2025-04-22,MENA,Leisure
SALE-00393,RVH-S1K3,B9M8-0O2R,2025-02-13,Americas,Leisure
SALE-00395,AU5-BHXT,B9M8-0O2R,2024-10-25,Americas,Commercial
SALE-00399,IP9-8Q1Z,B9M8-0O2R,2025-01-03,Americas,Commuting
SALE-00401,RVH-S1K3,AK1V-RJNV,2025-02-23,UK,Commuting
SALE-00402,AU5-BHXT,MECO-SFOG,2025-05-19,UK,Leisure
SALE-00404,UN5-Z3JQ,YR3X-KXWN,2024-11-07,Americas,Commuting
SALE-00409,IP9-8Q1Z,38HY-F9SX,2025-03-09,Americas,Commuting
SALE-00411,3YR-9OUD,MECO-SFOG,2025-02-21,EU,Leisure
SALE-00413,6MJ-XK87,GFYG-WWQC,2025-06-26,MENA,Commercial
SALE-00414,OCU-ZREN,YR3X-KXWN,2025-06-25,UK,Commercial
SALE-00415,RVH-S1K3,AK1V-RJNV,2025-03-18,UK,Off-roading
SALE-00416,UN5-Z3JQ,YR3X-KXWN,2024-11-02,EU,Commercial
SALE-00418,XOI-65FD,YR3X-KXWN,2025-05-02,MENA,Commuting
SALE-00423,XOI-65FD,YR3X-KXWN,2024-10-29,UK,Leisure
SALE-00424,OCU-ZREN,B9M8-0O2R,2024-11-08,EU,Off-roading
SALE-00425,71N-8MTZ,GFYG-WWQC,2025-03-22,MENA,Leisure
SALE-00426,8II-49KQ,GFYG-WWQC,2024-10-17,Americas,Commercial
SALE-00427,RVH-S1K3,AK1V-RJNV,2024-11-25,MENA,Off-roading
SALE-00428,IP9-8Q1Z,38HY-F9SX,2025-05-14,Americas,Leisure
SALE-00429,AQ6-L6GT,HBRP-OIG8,2024-12-06,Americas,Leisure
SALE-00430,3YR-9OUD,38HY-F9SX,2025-04-15,Americas,Off-roading
SALE-00431,X27-2HPO,MECO-SFOG,2024-10-23,MENA,Off-roading
SALE-00432,XOI-65FD,YR3X-KXWN,2025-05-25,UK,Leisure
SALE-00433,37Q-9AH8,GFYG-WWQC,2025-02-15,EU,Commuting
SALE-00435,IP9-8Q1Z,AK1V-RJNV,2025-05-17,UK,Leisure
SALE-00437,UN5-Z3JQ,YR3X-KXWN,2025-04-19,Americas,Off-roading
SALE-00438,6MJ-XK87,38HY-F9SX,2025-06-15,EU,Off-roading
SALE-00440,XOI-65FD,38HY-F9SX,2025-03-27,UK,Leisure
SALE-00441,37Q-9AH8,GFYG-WWQC,2025-01-31,UK,Leisure
SALE-00443,AQ6-L6GT,AK1V-RJNV,2025-03-20,UK,Commuting
SALE-00444,XOI-65FD,YR3X-KXWN,2024-11-28,MENA,Off-roading
SALE-00446,X27-2HPO,MECO-SFOG,2025-06-17,Americas,Leisure
SALE-00448,X27-2HPO,HBRP-OIG8,2025-01-03,EU,Leisure
SALE-00449,RVH-S1K3,AK1V-RJNV,2025-02-02,Americas,Commercial
SALE-00450,6MJ-XK87,GFYG-WWQC,2024-11-10,EU,Off-roading
SALE-00451,RVH-S1K3,38HY-F9SX,2025-06-11,MENA,Off-roading
SALE-00452,3YR-9OUD,MECO-SFOG,2024-10-07,EU,Leisure
SALE-00455,8II-49KQ,GFYG-WWQC,2024-12-08,MENA,Commercial
SALE-00456,OCU-ZREN,YR3X-KXWN,2024-12-20,Americas,Leisure
SALE-00458,8II-49KQ,38HY-F9SX,2025-06-19,Americas,Commercial
SALE-00459,X27-2HPO,MECO-SFOG,2024-12-28,MENA,Off-roading
SALE-00460,IP9-8Q1Z,AK1V-RJNV,2025-04-26,UK,Leisure
SALE-00461,AQ6-L6GT,AK1V-RJNV,2025-05-01,UK,Commuting
SALE-00462,3YR-9OUD,MECO-SFOG,2025-06-23,UK,Off-roading
SALE-00464,OCU-ZREN,38HY-F9SX,2025-04-25,EU,Commuting
SALE-00466,X27-2HPO,MECO-SFOG,2024-12-16,UK,Commercial
SALE-00468,3YR-9OUD,MECO-SFOG,2024-11-16,EU,Commercial
SALE-00469,HJK-1EYY,AK1V-RJNV,2025-04-18,EU,Leisure
SALE-00471,HJK-1EYY,AK1V-RJNV,2025-04-28,MENA,Off-roading
SALE-00473,6MJ-XK87,GFYG-WWQC,2025-03-03,UK,Off-roading
SALE-00477,IP9-8Q1Z,AK1V-RJNV,2025-03-06,UK,Commercial
SALE-00478,8II-49KQ,GFYG-WWQC,2025-06-18,UK,Leisure
SALE-00479,XOI-65FD,YR3X-KXWN,2024-12-16,EU,Commuting
SALE-00481,AQ6-L6GT,AK1V-RJNV,2025-02-08,EU,Off-roading
SALE-00483,8II-49KQ,B9M8-0O2R,2025-03-12,Americas,Commuting
SALE-00484,XOI-65FD,YR3X-KXWN,2024-10-15,MENA,Leisure
SALE-00485,37Q-9AH8,GFYG-WWQC,2025-05-20,UK,Commuting
SALE-00486,IP9-8Q1Z,AK1V-RJNV,2025-04-13,EU,Leisure
SALE-00496,RVH-S1K3,AK1V-RJNV,2025-02-24,UK,Commercial
SALE-00497,HJK-1EYY,AK1V-RJNV,2025-06-16,Americas,Off-roading
SALE-00499,37Q-9AH8,GFYG-WWQC,2025-02-20,Americas,Off-roading
SALE-00501,37Q-9AH8,GFYG-WWQC,2024-12-29,Americas,Off-roading
SALE-00502,PDP-FF5E,MECO-SFOG,2025-03-13,EU,Commuting
SALE-00504,71N-8MTZ,GFYG-WWQC,2024-12-23,MENA,Commercial
SALE-00505,RVH-S1K3,AK1V-RJNV,2024-12-16,MENA,Commercial
SALE-00508,AU5-BHXT,MECO-SFOG,2025-01-12,EU,Off-roading
SALE-00513,HJK-1EYY,B9M8-0O2R,2025-05-11,EU,Leisure
SALE-00514,37Q-9AH8,GFYG-WWQC,2024-10-09,MENA,Off-roading
SALE-00515,OCU-ZREN,YR3X-KXWN,2024-11-22,UK,Commuting
SALE-00516,HJK-1EYY,AK1V-RJNV,2024-12-16,UK,Leisure
SALE-00519,IP9-8Q1Z,AK1V-RJNV,2025-03-14,Americas,Commuting
SALE-00521,6MJ-XK87,GFYG-WWQC,2024-10-27,EU,Commuting
SALE-00522,HJK-1EYY,AK1V-RJNV,2024-12-09,MENA,Commuting
SALE-00523,OCU-ZREN,YR3X-KXWN,2025-05-06,Americas,Off-roading
SALE-00526,X27-2HPO,F1CB-FNO6,2025-02-01,MENA,Leisure
SALE-00527,UN5-Z3JQ,YR3X-KXWN,2024-10-19,MENA,Off-roading
SALE-00528,IP9-8Q1Z,AK1V-RJNV,2025-06-14,EU,Off-roading
SALE-00530,6MJ-XK87,GFYG-WWQC,2024-10-22,Americas,Off-roading
SALE-00532,IP9-8Q1Z,AK1V-RJNV,2024-11-17,UK,Commuting
SALE-00533,AU5-BHXT,MECO-SFOG,2025-04-01,EU,Commuting
SALE-00535,8II-49KQ,B9M8-0O2R,2025-01-15,MENA,Commercial
SALE-00536,X27-2HPO,MECO-SFOG,2025-04-06,MENA,Leisure
SALE-00537,71N-8MTZ,GFYG-WWQC,2024-12-25,EU,Off-roading
SALE-00539,71N-8MTZ,38HY-F9SX,2025-02-14,EU,Commuting
SALE-00544,AU5-BHXT,MECO-SFOG,2024-12-11,Americas,Commercial
SALE-00545,71N-8MTZ,GFYG-WWQC,2024-10-24,UK,Commercial
SALE-00547,X27-2HPO,MECO-SFOG,2024-11-25,UK,Leisure
SALE-00548,X27-2HPO,MECO-SFOG,2025-05-11,Americas,Leisure
SALE-00549,RVH-S1K3,B9M8-0O2R,2025-03-28,Americas,Leisure
SALE-00553,37Q-9AH8,GFYG-WWQC,2025-04-07,UK,Leisure
SALE-00555,6MJ-XK87,GFYG-WWQC,2025-06-06,Americas,Commercial
SALE-00556,OCU-ZREN,B9M8-0O2R,2025-03-13,UK,Commuting
SALE-00557,71N-8MTZ,GFYG-WWQC,2025-06-12,EU,Leisure
SALE-00560,8II-49KQ,GFYG-WWQC,2025-03-19,MENA,Commercial
SALE-00562,71N-8MTZ,F1CB-FNO6,2025-03-23,UK,Off-roading
SALE-00566,IP9-8Q1Z,F1CB-FNO6,2024-10-18,UK,Leisure
SALE-00567,AU5-BHXT,MECO-SFOG,2024-12-09,MENA,Commuting
SALE-00571,37Q-9AH8,HBRP-OIG8,2025-06-26,MENA,Off-roading
SALE-00572,3YR-9OUD,MECO-SFOG,2025-04-06,EU,Off-roading
SALE-00579,UN5-Z3JQ,YR3X-KXWN,2024-12-26,EU,Leisure
SALE-00582,HJK-1EYY,HBRP-OIG8,2024-10-22,Americas,Commercial
SALE-00586,X27-2HPO,MECO-SFOG,2025-01-09,MENA,Commuting
SALE-00587,71N-8MTZ,F1CB-FNO6,2025-02-18,MENA,Commercial
SALE-00588,8II-49KQ,GFYG-WWQC,2025-02-15,Americas,Leisure
SALE-00589,HJK-1EYY,AK1V-RJNV,2025-05-16,EU,Commuting
SALE-00592,UN5-Z3JQ,38HY-F9SX,2024-11-09,Americas,Off-roading
SALE-00594,8II-49KQ,GFYG-WWQC,2025-04-29,Americas,Leisure
SALE-00596,X27-2HPO,B9M8-0O2R,2024-12-25,EU,Commuting
SALE-00598,71N-8MTZ,GFYG-WWQC,2025-06-10,MENA,Commercial
SALE-00602,XOI-65FD,YR3X-KXWN,2024-11-02,MENA,Off-roading
SALE-00603,X27-2HPO,MECO-SFOG,2025-06-17,UK,Commuting
SALE-00604,X27-2HPO,MECO-SFOG,2025-05-22,UK,Leisure
SALE-00607,RVH-S1K3,AK1V-RJNV,2024-12-09,EU,Commercial
SALE-00612,6MJ-XK87,38HY-F9SX,2025-02-21,MENA,Commuting
SALE-00613,8II-49KQ,GFYG-WWQC,2024-10-24,Americas,Commercial
SALE-00615,RVH-S1K3,AK1V-RJNV,2025-03-24,UK,Leisure
SALE-00618,HJK-1EYY,AK1V-RJNV,2024-10-18,EU,Off-roading
SALE-00619,6MJ-XK87,GFYG-WWQC,2024-11-13,Americas,Commercial
SALE-00620,AU5-BHXT,MECO-SFOG,2025-03-04,Americas,Leisure
SALE-00623,AU5-BHXT,MECO-SFOG,2025-05-13,Americas,Leisure
SALE-00624,RVH-S1K3,AK1V-RJNV,2025-05-05,MENA,Commuting
SALE-00625,RVH-S1K3,AK1V-RJNV,2024-10-31,Americas,Commercial
SALE-00626,OCU-ZREN,38HY-F9SX,2024-11-28,MENA,Commuting
SALE-00629,71N-8MTZ,GFYG-WWQC,2025-05-23,MENA,Off-roading
SALE-00630,AU5-BHXT,MECO-SFOG,2025-01-15,UK,Commercial
SALE-00631,IP9-8Q1Z,AK1V-RJNV,2025-04-09,UK,Leisure
SALE-00633,RVH-S1K3,38HY-F9SX,2025-06-02,Americas,Leisure
SALE-00634,6MJ-XK87,38HY-F9SX,2024-12-15,UK,Off-roading
SALE-00636,PDP-FF5E,MECO-SFOG,2025-06-24,MENA,Commercial
SALE-00638,OCU-ZREN,YR3X-KXWN,2025-01-29,Americas,Leisure
SALE-00639,OCU-ZREN,YR3X-KXWN,2024-10-25,EU,Commuting
SALE-00641,XOI-65FD,B9M8-0O2R,2025-03-09,Americas,Off-roading
SALE-00642,UN5-Z3JQ,HBRP-OIG8,2025-01-22,UK,Commercial
SALE-00644,OCU-ZREN,B9M8-0O2R,2025-03-15,UK,Commuting
SALE-00645,IP9-8Q1Z,B9M8-0O2R,2025-03-24,MENA,Leisure
SALE-00646,AQ6-L6GT,AK1V-RJNV,2024-10-01,EU,Leisure
SALE-00647,IP9-8Q1Z,AK1V-RJNV,2024-12-25,EU,Off-roading
SALE-00652,OCU-ZREN,YR3X-KXWN,2025-06-07,MENA,Off-roading
